CURSO RESPONSAVEL;CÓDIGO DE TURMA;TURMA;TEORIA;PRÁTICA;T-P-I;VAGAS;centro responsável;DOCENTE TEORIA;DOCENTE PRÁTICA
BACHARELADO EM CIÊNCIA E TECNOLOGIA;DA9BCM0505-15SA;Processamento da Informação A9-diurno (Santo André);terca das 10:00 às 12:00,  quinzenal I,  quinta das 08:00 às 10:00,  semanal ;segunda das 10:00 às 12:00,  semanal ;03/02/2005;30;CECS;ALINE DE OLIVEIRA NEVES PANAZIO;CELSO SETSUO KURASHIMA
BACHARELADO EM CIÊNCIA E TECNOLOGIA;NA9BCM0505-15SA;Processamento da Informação A9-noturno (Santo André);terca das 21:00 às 23:00,  quinzenal I,  quinta das 19:00 às 21:00,  semanal ;segunda das 21:00 às 23:00,  semanal ;03/02/2005;30;CECS;FRANCISCO JOSÉ FRAGA DA SILVA;JOÃO HENRIQUE KLEINSCHMIDT
BACHARELADO EM CIÊNCIA E TECNOLOGIA;DB1BCM0505-15SA;Processamento da Informação B1-diurno (Santo André);terca das 08:00 às 10:00,  quinzenal I,  quinta das 10:00 às 12:00,  semanal ;segunda das 08:00 às 10:00,  semanal ;03/02/2005;30;CMCC;FABRÍCIO OLIVETTI DE FRANÇA;SAUL DE CASTRO LEITE
BACHARELADO EM CIÊNCIA E TECNOLOGIA;DB1BCM0505-15SB;Processamento da Informação B1-diurno (São Bernardo do Campo);terca das 08:00 às 10:00,  quinzenal I,  quinta das 10:00 às 12:00,  semanal ;segunda das 08:00 às 10:00,  semanal ;03/02/2005;42;CMCC;ALEXANDRE DONIZETI ALVES;ITANA STIUBIENER
BACHARELADO EM CIÊNCIA E TECNOLOGIA;NB1BCM0505-15SA;Processamento da Informação B1-noturno (Santo André);terca das 19:00 às 21:00,  quinzenal I,  quinta das 21:00 às 23:00,  semanal ;segunda das 19:00 às 21:00,  semanal ;03/02/2005;30;CMCC;ARITANAN BORGES GARCIA GRUBER;PAULO JOIA FILHO
BACHARELADO EM CIÊNCIA E TECNOLOGIA;NB1BCM0505-15SB;Processamento da Informação B1-noturno (São Bernardo do Campo);terca das 19:00 às 21:00,  quinzenal I,  quinta das 21:00 às 23:00,  semanal ;segunda das 19:00 às 21:00,  semanal ;03/02/2005;42;CMCC;WAGNER TANAKA BOTELHO;VERA NAGAMUTA ARAUJO
BACHARELADO EM CIÊNCIA E TECNOLOGIA;DB2BCM0505-15SA;Processamento da Informação B2-diurno (Santo André);terca das 08:00 às 10:00,  quinzenal I,  quinta das 10:00 às 12:00,  semanal ;segunda das 08:00 às 10:00,  semanal ;03/02/2005;30;CMCC;FABRÍCIO OLIVETTI DE FRANÇA;CARLOS DA SILVA DOS SANTOS
BACHARELADO EM CIÊNCIA E TECNOLOGIA;DB2BCM0505-15SB;Processamento da Informação B2-diurno (São Bernardo do Campo);terca das 08:00 às 10:00,  quinzenal I,  quinta das 10:00 às 12:00,  semanal ;segunda das 08:00 às 10:00,  semanal ;03/02/2005;42;CMCC;ALEXANDRE DONIZETI ALVES;MARIA DAS GRAÇAS BRUNO MARIETTO
BACHARELADO EM CIÊNCIA E TECNOLOGIA;NB2BCM0505-15SA;Processamento da Informação B2-noturno (Santo André);terca das 19:00 às 21:00,  quinzenal I,  quinta das 21:00 às 23:00,  semanal ;segunda das 19:00 às 21:00,  semanal ;03/02/2005;30;CMCC;ARITANAN BORGES GARCIA GRUBER;CRISTIANE MARIA SATO
BACHARELADO EM CIÊNCIA E TECNOLOGIA;NB2BCM0505-15SB;Processamento da Informação B2-noturno (São Bernardo do Campo);terca das 19:00 às 21:00,  quinzenal I,  quinta das 21:00 às 23:00,  semanal ;segunda das 19:00 às 21:00,  semanal ;03/02/2005;42;CMCC;WAGNER TANAKA BOTELHO;NATALIA EMELIANOVA
BACHARELADO EM CIÊNCIA E TECNOLOGIA;DB3BCM0505-15SA;Processamento da Informação B3-diurno (Santo André);terca das 08:00 às 10:00,  quinzenal I,  quinta das 10:00 às 12:00,  semanal ;segunda das 08:00 às 10:00,  semanal ;03/02/2005;30;CMCC;FABRÍCIO OLIVETTI DE FRANÇA;PAULO HENRIQUE PISANI
BACHARELADO EM CIÊNCIA E TECNOLOGIA;DB3BCM0505-15SB;Processamento da Informação B3-diurno (São Bernardo do Campo);terca das 08:00 às 10:00,  quinzenal I,  quinta das 10:00 às 12:00,  semanal ;segunda das 08:00 às 10:00,  semanal ;03/02/2005;42;CMCC;MÁRCIO KATSUMI OIKAWA;ANA CAROLINA QUIRINO SIMÕES
BACHARELADO EM CIÊNCIA E TECNOLOGIA;NB3BCM0505-15SA;Processamento da Informação B3-noturno (Santo André);terca das 19:00 às 21:00,  quinzenal I,  quinta das 21:00 às 23:00,  semanal ;segunda das 19:00 às 21:00,  semanal ;03/02/2005;30;CMCC;ARITANAN BORGES GARCIA GRUBER;ARITANAN BORGES GARCIA GRUBER
BACHARELADO EM CIÊNCIA E TECNOLOGIA;NB3BCM0505-15SB;Processamento da Informação B3-noturno (São Bernardo do Campo);terca das 19:00 às 21:00,  quinzenal I,  quinta das 21:00 às 23:00,  semanal ;segunda das 19:00 às 21:00,  semanal ;03/02/2005;42;CMCC;CRISTIANE OTERO REIS SALUM;CRISTIANE OTERO REIS SALUM
BACHARELADO EM CIÊNCIA E TECNOLOGIA;DB4BCM0505-15SA;Processamento da Informação B4-diurno (Santo André);terca das 08:00 às 10:00,  quinzenal I,  quinta das 10:00 às 12:00,  semanal ;segunda das 08:00 às 10:00,  semanal ;03/02/2005;30;CMCC;MIRTHA LINA FERNANDEZ VENERO;MIRTHA LINA FERNANDEZ VENERO
BACHARELADO EM CIÊNCIA E TECNOLOGIA;DB4BCM0505-15SB;Processamento da Informação B4-diurno (São Bernardo do Campo);terca das 08:00 às 10:00,  quinzenal I,  quinta das 10:00 às 12:00,  semanal ;segunda das 08:00 às 10:00,  semanal ;03/02/2005;42;CMCC;MÁRCIO KATSUMI OIKAWA;MÁRCIO KATSUMI OIKAWA
BACHARELADO EM CIÊNCIA E TECNOLOGIA;NB4BCM0505-15SA;Processamento da Informação B4-noturno (Santo André);terca das 19:00 às 21:00,  quinzenal I,  quinta das 21:00 às 23:00,  semanal ;segunda das 19:00 às 21:00,  semanal ;03/02/2005;30;CMCC;DANIEL MORGATO MARTIN;ALEXANDRE NOMA
BACHARELADO EM CIÊNCIA E TECNOLOGIA;NB4BCM0505-15SB;Processamento da Informação B4-noturno (São Bernardo do Campo);terca das 19:00 às 21:00,  quinzenal I,  quinta das 21:00 às 23:00,  semanal ;segunda das 19:00 às 21:00,  semanal ;03/02/2005;42;CMCC;CRISTIANE OTERO REIS SALUM;MARIO ALEXANDRE GAZZIRO
BACHARELADO EM CIÊNCIA E TECNOLOGIA;DB5BCM0505-15SA;Processamento da Informação B5-diurno (Santo André);terca das 08:00 às 10:00,  quinzenal I,  quinta das 10:00 às 12:00,  semanal ;segunda das 08:00 às 10:00,  semanal ;03/02/2005;30;CMCC;MIRTHA LINA FERNANDEZ VENERO;VALÉRIO RAMOS BATISTA
BACHARELADO EM CIÊNCIA E TECNOLOGIA;NB5BCM0505-15SA;Processamento da Informação B5-noturno (Santo André);terca das 19:00 às 21:00,  quinzenal I,  quinta das 21:00 às 23:00,  semanal ;segunda das 19:00 às 21:00,  semanal ;03/02/2005;30;CMCC;DANIEL MORGATO MARTIN;FRANCISCO ISIDRO MASSETTO
BACHARELADO EM CIÊNCIA E TECNOLOGIA;DB6BCM0505-15SA;Processamento da Informação B6-diurno (Santo André);terca das 08:00 às 10:00,  quinzenal I,  quinta das 10:00 às 12:00,  semanal ;segunda das 08:00 às 10:00,  semanal ;03/02/2005;30;CMCC;MIRTHA LINA FERNANDEZ VENERO;RONALDO CRISTIANO PRATI
BACHARELADO EM CIÊNCIA E TECNOLOGIA;NB6BCM0505-15SA;Processamento da Informação B6-noturno (Santo André);terca das 19:00 às 21:00,  quinzenal I,  quinta das 21:00 às 23:00,  semanal ;segunda das 19:00 às 21:00,  semanal ;03/02/2005;31;CMCC;DANIEL MORGATO MARTIN;GORDANA MANIC
BACHARELADO EM CIÊNCIA E TECNOLOGIA;DB7BCM0505-15SA;Processamento da Informação B7-diurno (Santo André);terca das 08:00 às 10:00,  quinzenal I,  quinta das 10:00 às 12:00,  semanal ;segunda das 08:00 às 10:00,  semanal ;03/02/2005;30;CMCC;JOÃO MARCELO BOROVINA JOSKO;FERNANDO TEUBL FERREIRA
BACHARELADO EM CIÊNCIA E TECNOLOGIA;NB7BCM0505-15SA;Processamento da Informação B7-noturno (Santo André);terca das 19:00 às 21:00,  quinzenal I,  quinta das 21:00 às 23:00,  semanal ;segunda das 19:00 às 21:00,  semanal ;03/02/2005;30;CMCC;MONAEL PINHEIRO RIBEIRO;JOÃO PAULO GOIS
BACHARELADO EM CIÊNCIA E TECNOLOGIA;DB8BCM0505-15SA;Processamento da Informação B8-diurno (Santo André);terca das 08:00 às 10:00,  quinzenal I,  quinta das 10:00 às 12:00,  semanal ;segunda das 08:00 às 10:00,  semanal ;03/02/2005;30;CMCC;JOÃO MARCELO BOROVINA JOSKO;JOÃO MARCELO BOROVINA JOSKO
BACHARELADO EM CIÊNCIA E TECNOLOGIA;NB8BCM0505-15SA;Processamento da Informação B8-noturno (Santo André);terca das 19:00 às 21:00,  quinzenal I,  quinta das 21:00 às 23:00,  semanal ;segunda das 19:00 às 21:00,  semanal ;03/02/2005;28;CMCC;MONAEL PINHEIRO RIBEIRO;THIAGO FERREIRA COVÕES
BACHARELADO EM CIÊNCIA E TECNOLOGIA;DB9BCM0505-15SA;Processamento da Informação B9-diurno (Santo André);terca das 08:00 às 10:00,  quinzenal I,  quinta das 10:00 às 12:00,  semanal ;segunda das 08:00 às 10:00,  semanal ;03/02/2005;30;CMCC;JOÃO MARCELO BOROVINA JOSKO;CARLA NEGRI LINTZMAYER
BACHARELADO EM CIÊNCIA E TECNOLOGIA;NB9BCM0505-15SA;Processamento da Informação B9-noturno (Santo André);terca das 19:00 às 21:00,  quinzenal I,  quinta das 21:00 às 23:00,  semanal ;segunda das 19:00 às 21:00,  semanal ;03/02/2005;30;CMCC;MONAEL PINHEIRO RIBEIRO;RONALDO CRISTIANO PRATI
BACHARELADO EM CIÊNCIA E TECNOLOGIA;DSBCM0505-15SA;Processamento da Informação S-diurno (Santo André)  - SEMI PRESENCIAL;quarta das 17:00 às 19:00,  semanal ;;03/02/2005;120;CMCC;EDSON PINHEIRO PIMENTEL;JULIANA CRISTINA BRAGA
BACHARELADO EM CIÊNCIA E TECNOLOGIA;DSBCM0505-15SB;Processamento da Informação S-diurno (São Bernardo do Campo)  - SEMI PRESENCIAL;quarta das 17:00 às 19:00,  semanal ;;03/02/2005;60;CMCC;FRANCISCO DE ASSIS ZAMPIROLLI;LUIZ CARLOS DA SILVA ROZANTE
BACHARELADO EM CIÊNCIA E TECNOLOGIA;DA1BCS0002-15SA;Projeto Dirigido A1-diurno (Santo André);quarta das 08:00 às 10:00,  semanal ;;0-2-10;40;CCNH;;RICARDO AUGUSTO LOMBELLO
BACHARELADO EM CIÊNCIA E TECNOLOGIA;DA1BCS0002-15SB;Projeto Dirigido A1-diurno (São Bernardo do Campo);quarta das 08:00 às 10:00,  semanal ;;0-2-10;40;CCNH;;DANIEL CARNEIRO CARRETTIERO
BACHARELADO EM CIÊNCIA E TECNOLOGIA;NA1BCS0002-15SA;Projeto Dirigido A1-noturno (Santo André);quarta das 19:00 às 21:00,  semanal ;;0-2-10;40;CCNH;;MARIA CRISTINA CARLAN DA SILVA
BACHARELADO EM CIÊNCIA E TECNOLOGIA;NA1BCS0002-15SB;Projeto Dirigido A1-noturno (São Bernardo do Campo);quarta das 19:00 às 21:00,  semanal ;;0-2-10;40;CCNH;;HUGO BARBOSA SUFFREDINI
BACHARELADO EM CIÊNCIA E TECNOLOGIA;DA2BCS0002-15SA;Projeto Dirigido A2-diurno (Santo André);quarta das 08:00 às 10:00,  semanal ;;0-2-10;40;CCNH;;HUGO BARBOSA SUFFREDINI
BACHARELADO EM CIÊNCIA E TECNOLOGIA;DA2BCS0002-15SB;Projeto Dirigido A2-diurno (São Bernardo do Campo);quarta das 08:00 às 10:00,  semanal ;;0-2-10;40;CECS;ANA CAROLINA QUIRINO SIMÕES;
BACHARELADO EM CIÊNCIA E TECNOLOGIA;NA2BCS0002-15SA;Projeto Dirigido A2-noturno (Santo André);quarta das 19:00 às 21:00,  semanal ;;0-2-10;40;CCNH;;GRACIELLA WATANABE
BACHARELADO EM CIÊNCIA E TECNOLOGIA;NA2BCS0002-15SB;Projeto Dirigido A2-noturno (São Bernardo do Campo);quarta das 19:00 às 21:00,  semanal ;;0-2-10;40;CMCC;PRISCILA BENITEZ AFONSO;
BACHARELADO EM CIÊNCIA E TECNOLOGIA;DA3BCS0002-15SA;Projeto Dirigido A3-diurno (Santo André);quarta das 08:00 às 10:00,  semanal ;;0-2-10;40;CMCC;ANDREA CRISTINA DE LIMA;
BACHARELADO EM CIÊNCIA E TECNOLOGIA;NA3BCS0002-15SA;Projeto Dirigido A3-noturno (Santo André);quarta das 19:00 às 21:00,  semanal ;;0-2-10;40;CCNH;;ADRIANA PUGLIESE NETTO LAMAS
BACHARELADO EM CIÊNCIA E TECNOLOGIA;DA4BCS0002-15SA;Projeto Dirigido A4-diurno (Santo André) - ministrada em inglês;quarta das 08:00 às 10:00,  semanal ;;0-2-10;40;CECS;(VLATKO BROZ);
BACHARELADO EM CIÊNCIA E TECNOLOGIA;NA4BCS0002-15SA;Projeto Dirigido A4-noturno (Santo André);quarta das 19:00 às 21:00,  semanal ;;0-2-10;40;CMCC;ERIKA REIME KINJO UENO;
BACHARELADO EM CIÊNCIA E TECNOLOGIA;NA5BCS0002-15SA;Projeto Dirigido A5-noturno (Santo André);quarta das 19:00 às 21:00,  semanal ;;0-2-10;40;CECS;MARA CRISTINA LOPES DE OLIVEIRA;
BACHARELADO EM CIÊNCIA E TECNOLOGIA;DB1BCS0002-15SA;Projeto Dirigido B1-diurno (Santo André);quarta das 10:00 às 12:00,  semanal ;;0-2-10;40;CCNH;;RICARDO AUGUSTO LOMBELLO
BACHARELADO EM CIÊNCIA E TECNOLOGIA;DB1BCS0002-15SB;Projeto Dirigido B1-diurno (São Bernardo do Campo);quarta das 10:00 às 12:00,  semanal ;;0-2-10;40;CCNH;;DANIEL CARNEIRO CARRETTIERO
BACHARELADO EM CIÊNCIA E TECNOLOGIA;NB1BCS0002-15SA;Projeto Dirigido B1-noturno (Santo André);quarta das 21:00 às 23:00,  semanal ;;0-2-10;40;CCNH;;DANIELE RIBEIRO DE ARAÚJO
BACHARELADO EM CIÊNCIA E TECNOLOGIA;NB1BCS0002-15SB;Projeto Dirigido B1-noturno (São Bernardo do Campo);quarta das 21:00 às 23:00,  semanal ;;0-2-10;40;CCNH;;ANDRÉ SARTO POLO
BACHARELADO EM CIÊNCIA E TECNOLOGIA;DB2BCS0002-15SA;Projeto Dirigido B2-diurno (Santo André);quarta das 10:00 às 12:00,  semanal ;;0-2-10;40;CCNH;;CÉLIO FERNANDO FIGUEIREDO ANGOLIN
BACHARELADO EM CIÊNCIA E TECNOLOGIA;NB2BCS0002-15SA;Projeto Dirigido B2-noturno (Santo André);quarta das 21:00 às 23:00,  semanal ;;0-2-10;40;CCNH;;GRACIELLA WATANABE
BACHARELADO EM CIÊNCIA E TECNOLOGIA;DB3BCS0002-15SA;Projeto Dirigido B3-diurno (Santo André);quarta das 10:00 às 12:00,  semanal ;;0-2-10;40;CCNH;;MEIRI APARECIDA GURGEL DE CAMPOS MIRANDA
BACHARELADO EM CIÊNCIA E TECNOLOGIA;NB3BCS0002-15SA;Projeto Dirigido B3-noturno (Santo André);quarta das 21:00 às 23:00,  semanal ;;0-2-10;40;CCNH;;ADRIANA PUGLIESE NETTO LAMAS
BACHARELADO EM CIÊNCIA E TECNOLOGIA;DB4BCS0002-15SA;Projeto Dirigido B4-diurno (Santo André);quarta das 10:00 às 12:00,  semanal ;;0-2-10;40;CMCC;ANDREA CRISTINA DE LIMA;
BACHARELADO EM CIÊNCIA E TECNOLOGIA;NB4BCS0002-15SA;Projeto Dirigido B4-noturno (Santo André);quarta das 21:00 às 23:00,  semanal ;;0-2-10;40;CMCC;ERIKA REIME KINJO UENO;
BACHARELADO EM CIÊNCIA E TECNOLOGIA;DA1BCL0307-15SA;Transformações Químicas A1-diurno (Santo André);quarta das 08:00 às 10:00,  quinzenal II,  sexta das 10:00 às 12:00,  semanal ;quinta das 10:00 às 12:00,  semanal ;03/02/2006;33;CCNH;ANDRÉ SARTO POLO;ANDRÉ SARTO POLO
BACHARELADO EM CIÊNCIA E TECNOLOGIA;DA1BCL0307-15SB;Transformações Químicas A1-diurno (São Bernardo do Campo);quarta das 08:00 às 10:00,  quinzenal II,  sexta das 10:00 às 12:00,  semanal ;quinta das 10:00 às 12:00,  semanal ;03/02/2006;30;CCNH;DÉBORA ALVIM;DOUGLAS NORBERTO
BACHARELADO EM CIÊNCIA E TECNOLOGIA;NA1BCL0307-15SA;Transformações Químicas A1-noturno (Santo André);quarta das 19:00 às 21:00,  quinzenal II,  sexta das 21:00 às 23:00,  semanal ;quinta das 21:00 às 23:00,  semanal ;03/02/2006;33;CCNH;ANDERSON ORZARI RIBEIRO;ANDERSON ORZARI RIBEIRO
BACHARELADO EM CIÊNCIA E TECNOLOGIA;NA1BCL0307-15SB;Transformações Químicas A1-noturno (São Bernardo do Campo);quarta das 19:00 às 21:00,  quinzenal II,  sexta das 21:00 às 23:00,  semanal ;quinta das 21:00 às 23:00,  semanal ;03/02/2006;30;CCNH;TIAGO ARAÚJO MATHIAS;GISELLE CERCHIARO
BACHARELADO EM CIÊNCIA E TECNOLOGIA;DA2BCL0307-15SA;Transformações Químicas A2-diurno (Santo André);quarta das 08:00 às 10:00,  quinzenal II,  sexta das 10:00 às 12:00,  semanal ;quinta das 10:00 às 12:00,  semanal ;03/02/2006;33;CCNH;ANDRÉ SARTO POLO;FERNANDA DE LOURDES SOUZA
BACHARELADO EM CIÊNCIA E TECNOLOGIA;DA2BCL0307-15SB;Transformações Químicas A2-diurno (São Bernardo do Campo);quarta das 08:00 às 10:00,  quinzenal II,  sexta das 10:00 às 12:00,  semanal ;quinta das 10:00 às 12:00,  semanal ;03/02/2006;30;CCNH;DÉBORA ALVIM;RODRIGO MAGHDISSIAN CORDEIRO
BACHARELADO EM CIÊNCIA E TECNOLOGIA;NA2BCL0307-15SA;Transformações Químicas A2-noturno (Santo André);quarta das 19:00 às 21:00,  quinzenal II,  sexta das 21:00 às 23:00,  semanal ;quinta das 21:00 às 23:00,  semanal ;03/02/2006;33;CCNH;ANDERSON ORZARI RIBEIRO;ELIZABETE CAMPOS DE LIMA
BACHARELADO EM CIÊNCIA E TECNOLOGIA;NA2BCL0307-15SB;Transformações Químicas A2-noturno (São Bernardo do Campo);quarta das 19:00 às 21:00,  quinzenal II,  sexta das 21:00 às 23:00,  semanal ;quinta das 21:00 às 23:00,  semanal ;03/02/2006;30;CCNH;TIAGO ARAÚJO MATHIAS;DIOGO LIBRANDI DA ROCHA
BACHARELADO EM CIÊNCIA E TECNOLOGIA;DA3BCL0307-15SA;Transformações Químicas A3-diurno (Santo André);quarta das 08:00 às 10:00,  quinzenal II,  sexta das 10:00 às 12:00,  semanal ;quinta das 10:00 às 12:00,  semanal ;03/02/2006;33;CCNH;ANDRÉ SARTO POLO;DIOGO LIBRANDI DA ROCHA
BACHARELADO EM CIÊNCIA E TECNOLOGIA;DA3BCL0307-15SB;Transformações Químicas A3-diurno (São Bernardo do Campo);quarta das 08:00 às 10:00,  quinzenal II,  sexta das 10:00 às 12:00,  semanal ;quinta das 10:00 às 12:00,  semanal ;03/02/2006;30;CCNH;DÉBORA ALVIM;JOÃO HENRIQUE GHILARDI LAGO
BACHARELADO EM CIÊNCIA E TECNOLOGIA;NA3BCL0307-15SA;Transformações Químicas A3-noturno (Santo André);quarta das 19:00 às 21:00,  quinzenal II,  sexta das 21:00 às 23:00,  semanal ;quinta das 21:00 às 23:00,  semanal ;03/02/2006;33;CCNH;ANDERSON ORZARI RIBEIRO;FERNANDA DE LOURDES SOUZA
BACHARELADO EM CIÊNCIA E TECNOLOGIA;NA3BCL0307-15SB;Transformações Químicas A3-noturno (São Bernardo do Campo);quarta das 19:00 às 21:00,  quinzenal II,  sexta das 21:00 às 23:00,  semanal ;quinta das 21:00 às 23:00,  semanal ;03/02/2006;30;CCNH;TIAGO ARAÚJO MATHIAS;IVANISE GAUBEUR
BACHARELADO EM CIÊNCIA E TECNOLOGIA;DA4BCL0307-15SA;Transformações Químicas A4-diurno (Santo André);quarta das 08:00 às 10:00,  quinzenal II,  sexta das 10:00 às 12:00,  semanal ;quinta das 10:00 às 12:00,  semanal ;03/02/2006;32;CCNH;RODRIGO MAGHDISSIAN CORDEIRO;ALEXANDRE ZATKOVSKIS CARVALHO
BACHARELADO EM CIÊNCIA E TECNOLOGIA;NA4BCL0307-15SA;Transformações Químicas A4-noturno (Santo André);quarta das 19:00 às 21:00,  quinzenal II,  sexta das 21:00 às 23:00,  semanal ;quinta das 21:00 às 23:00,  semanal ;03/02/2006;33;CCNH;PATRÍCIA DANTONI;VIVIANE VIANA SILVA
BACHARELADO EM CIÊNCIA E TECNOLOGIA;DA5BCL0307-15SA;Transformações Químicas A5-diurno (Santo André);quarta das 08:00 às 10:00,  quinzenal II,  sexta das 10:00 às 12:00,  semanal ;quinta das 10:00 às 12:00,  semanal ;03/02/2006;33;CCNH;RODRIGO MAGHDISSIAN CORDEIRO;ELIZABETE CAMPOS DE LIMA
BACHARELADO EM CIÊNCIA E TECNOLOGIA;NA5BCL0307-15SA;Transformações Químicas A5-noturno (Santo André);quarta das 19:00 às 21:00,  quinzenal II,  sexta das 21:00 às 23:00,  semanal ;quinta das 21:00 às 23:00,  semanal ;03/02/2006;33;CCNH;PATRÍCIA DANTONI;HUEDER PAULO MOISÉS DE OLIVEIRA
BACHARELADO EM CIÊNCIA E TECNOLOGIA;DA6BCL0307-15SA;Transformações Químicas A6-diurno (Santo André);quarta das 08:00 às 10:00,  quinzenal II,  sexta das 10:00 às 12:00,  semanal ;quinta das 10:00 às 12:00,  semanal ;03/02/2006;33;CCNH;RODRIGO MAGHDISSIAN CORDEIRO;VANI XAVIER DE OLIVEIRA JUNIOR
BACHARELADO EM CIÊNCIA E TECNOLOGIA;NA6BCL0307-15SA;Transformações Químicas A6-noturno (Santo André);quarta das 19:00 às 21:00,  quinzenal II,  sexta das 21:00 às 23:00,  semanal ;quinta das 21:00 às 23:00,  semanal ;03/02/2006;33;CCNH;PATRÍCIA DANTONI;JULIANA MARCHI
BACHARELADO EM CIÊNCIA E TECNOLOGIA;DB1BCL0307-15SA;Transformações Químicas B1-diurno (Santo André);quarta das 10:00 às 12:00,  quinzenal II,  sexta das 08:00 às 10:00,  semanal ;quinta das 08:00 às 10:00,  semanal ;03/02/2006;33;CCNH;WENDEL ANDRADE ALVES;ALEXANDRE ZATKOVSKIS CARVALHO
BACHARELADO EM CIÊNCIA E TECNOLOGIA;DB1BCL0307-15SB;Transformações Químicas B1-diurno (São Bernardo do Campo);quarta das 10:00 às 12:00,  quinzenal II,  sexta das 08:00 às 10:00,  semanal ;quinta das 08:00 às 10:00,  semanal ;03/02/2006;30;CCNH;DÉBORA ALVIM;DOUGLAS NORBERTO
BACHARELADO EM CIÊNCIA E TECNOLOGIA;NB1BCL0307-15SA;Transformações Químicas B1-noturno (Santo André);quarta das 21:00 às 23:00,  quinzenal II,  sexta das 19:00 às 21:00,  semanal ;quinta das 19:00 às 21:00,  semanal ;03/02/2006;33;CCNH;ANDERSON ORZARI RIBEIRO;ANDERSON ORZARI RIBEIRO
BACHARELADO EM CIÊNCIA E TECNOLOGIA;NB1BCL0307-15SB;Transformações Químicas B1-noturno (São Bernardo do Campo);quarta das 21:00 às 23:00,  quinzenal II,  sexta das 19:00 às 21:00,  semanal ;quinta das 19:00 às 21:00,  semanal ;03/02/2006;30;CCNH;TIAGO ARAÚJO MATHIAS;JOÃO HENRIQUE GHILARDI LAGO
BACHARELADO EM CIÊNCIA E TECNOLOGIA;DB2BCL0307-15SA;Transformações Químicas B2-diurno (Santo André);quarta das 10:00 às 12:00,  quinzenal II,  sexta das 08:00 às 10:00,  semanal ;quinta das 08:00 às 10:00,  semanal ;03/02/2006;34;CCNH;WENDEL ANDRADE ALVES;VANI XAVIER DE OLIVEIRA JUNIOR
BACHARELADO EM CIÊNCIA E TECNOLOGIA;DB2BCL0307-15SB;Transformações Químicas B2-diurno (São Bernardo do Campo);quarta das 10:00 às 12:00,  quinzenal II,  sexta das 08:00 às 10:00,  semanal ;quinta das 08:00 às 10:00,  semanal ;03/02/2006;30;CCNH;DÉBORA ALVIM;RODRIGO MAGHDISSIAN CORDEIRO
BACHARELADO EM CIÊNCIA E TECNOLOGIA;NB2BCL0307-15SA;Transformações Químicas B2-noturno (Santo André);quarta das 21:00 às 23:00,  quinzenal II,  sexta das 19:00 às 21:00,  semanal ;quinta das 19:00 às 21:00,  semanal ;03/02/2006;33;CCNH;ANDERSON ORZARI RIBEIRO;ELIZABETE CAMPOS DE LIMA
BACHARELADO EM CIÊNCIA E TECNOLOGIA;NB2BCL0307-15SB;Transformações Químicas B2-noturno (São Bernardo do Campo);quarta das 21:00 às 23:00,  quinzenal II,  sexta das 19:00 às 21:00,  semanal ;quinta das 19:00 às 21:00,  semanal ;03/02/2006;30;CCNH;TIAGO ARAÚJO MATHIAS;DIOGO LIBRANDI DA ROCHA
BACHARELADO EM CIÊNCIA E TECNOLOGIA;DB3BCL0307-15SA;Transformações Químicas B3-diurno (Santo André);quarta das 10:00 às 12:00,  quinzenal II,  sexta das 08:00 às 10:00,  semanal ;quinta das 08:00 às 10:00,  semanal ;03/02/2006;33;CCNH;WENDEL ANDRADE ALVES;IVANISE GAUBEUR
BACHARELADO EM CIÊNCIA E TECNOLOGIA;DB3BCL0307-15SB;Transformações Químicas B3-diurno (São Bernardo do Campo);quarta das 10:00 às 12:00,  quinzenal II,  sexta das 08:00 às 10:00,  semanal ;quinta das 08:00 às 10:00,  semanal ;03/02/2006;30;CCNH;DÉBORA ALVIM;MAURICIO DOMINGUES COUTINHO NETO
BACHARELADO EM CIÊNCIA E TECNOLOGIA;NB3BCL0307-15SA;Transformações Químicas B3-noturno (Santo André);quarta das 21:00 às 23:00,  quinzenal II,  sexta das 19:00 às 21:00,  semanal ;quinta das 19:00 às 21:00,  semanal ;03/02/2006;33;CCNH;ANDERSON ORZARI RIBEIRO;FERNANDA DE LOURDES SOUZA
BACHARELADO EM CIÊNCIA E TECNOLOGIA;NB3BCL0307-15SB;Transformações Químicas B3-noturno (São Bernardo do Campo);quarta das 21:00 às 23:00,  quinzenal II,  sexta das 19:00 às 21:00,  semanal ;quinta das 19:00 às 21:00,  semanal ;03/02/2006;30;CCNH;TIAGO ARAÚJO MATHIAS;IVANISE GAUBEUR
BACHARELADO EM CIÊNCIA E TECNOLOGIA;DB4BCL0307-15SA;Transformações Químicas B4-diurno (Santo André);quarta das 10:00 às 12:00,  quinzenal II,  sexta das 08:00 às 10:00,  semanal ;quinta das 08:00 às 10:00,  semanal ;03/02/2006;33;CCNH;RODRIGO MAGHDISSIAN CORDEIRO;JOSÉ CARLOS RODRIGUES SILVA
BACHARELADO EM CIÊNCIA E TECNOLOGIA;NB4BCL0307-15SA;Transformações Químicas B4-noturno (Santo André);quarta das 21:00 às 23:00,  quinzenal II,  sexta das 19:00 às 21:00,  semanal ;quinta das 19:00 às 21:00,  semanal ;03/02/2006;33;CCNH;ROBSON MACEDO NOVAIS;VIVIANE VIANA SILVA
